# coordinator_comparison mode=gossip n=10 duration_secs=20 decision_rate_hz=50 load_update_rate_hz=10 warmup_secs=6
# warmup 10/10 → client sees 10 workers, 10 peers; broker has 0 peers
mode,n,decision_idx,perceived_load,true_load,decision_us,is_misroute
gossip,10,204,0,0,29,false
gossip,10,205,1,1,18,false
gossip,10,206,1,1,30,false
gossip,10,207,1,1,29,false
gossip,10,208,1,1,15,false
gossip,10,209,2,2,16,false
gossip,10,210,2,2,29,false
gossip,10,211,2,2,29,false
gossip,10,212,2,2,112,false
gossip,10,213,2,2,36,false
gossip,10,214,5,5,26,false
gossip,10,215,5,5,18,false
gossip,10,216,5,5,23,false
gossip,10,217,5,5,27,false
gossip,10,218,5,5,42,false
gossip,10,219,6,6,21,false
gossip,10,220,6,6,33,false
gossip,10,221,6,6,15,false
gossip,10,222,6,6,24,false
gossip,10,223,7,7,13,false
gossip,10,224,7,7,28,false
gossip,10,225,7,7,30,false
gossip,10,226,7,7,22,false
gossip,10,227,7,7,28,false
gossip,10,228,6,6,48,false
gossip,10,229,6,6,15,false
gossip,10,230,6,6,21,false
gossip,10,231,6,6,29,false
gossip,10,232,6,2,39,false
gossip,10,233,2,2,23,false
gossip,10,234,2,2,23,false
gossip,10,235,2,2,15,false
gossip,10,236,2,2,15,false
gossip,10,237,0,0,26,false
gossip,10,238,0,0,20,false
gossip,10,239,0,0,22,false
gossip,10,240,0,0,28,false
gossip,10,241,0,0,18,false
gossip,10,242,0,0,17,false
gossip,10,243,0,0,17,false
gossip,10,244,0,0,14,false
gossip,10,245,0,0,15,false
gossip,10,246,0,0,15,false
gossip,10,247,0,0,42,false
gossip,10,248,0,0,31,false
gossip,10,249,0,0,28,false
gossip,10,250,0,0,35,false
gossip,10,251,4,4,15,false
gossip,10,252,4,4,49,false
gossip,10,253,4,4,27,false
gossip,10,254,4,4,15,false
gossip,10,255,6,6,12,false
gossip,10,256,6,6,27,false
gossip,10,257,6,6,20,false
gossip,10,258,6,6,22,false
gossip,10,259,6,6,130,false
gossip,10,260,11,11,19,false
gossip,10,261,11,11,21,false
gossip,10,262,11,11,38,false
gossip,10,263,11,11,26,false
gossip,10,264,10,10,26,false
gossip,10,265,10,10,18,false
gossip,10,266,10,10,32,false
gossip,10,267,10,10,14,false
gossip,10,268,10,10,17,false
gossip,10,269,12,12,23,false
gossip,10,270,12,12,19,false
gossip,10,271,12,12,17,false
gossip,10,272,12,12,22,false
gossip,10,273,13,13,19,false
gossip,10,274,13,13,22,false
gossip,10,275,13,13,17,false
gossip,10,276,13,13,25,false
gossip,10,277,13,13,41,false
gossip,10,278,10,10,16,false
gossip,10,279,10,10,40,false
gossip,10,280,10,10,28,false
gossip,10,281,10,10,16,false
gossip,10,282,13,13,11,false
gossip,10,283,13,13,15,false
gossip,10,284,13,13,11,false
gossip,10,285,13,13,22,false
gossip,10,286,13,13,18,false
gossip,10,287,10,10,25,false
gossip,10,288,10,10,35,false
gossip,10,289,10,10,37,false
gossip,10,290,10,10,14,false
gossip,10,291,10,10,14,false
gossip,10,292,13,13,27,false
gossip,10,293,13,13,29,false
gossip,10,294,13,13,28,false
gossip,10,295,13,13,27,false
gossip,10,296,13,11,18,false
gossip,10,297,10,10,31,false
gossip,10,298,10,10,28,false
gossip,10,299,10,10,18,false
gossip,10,300,10,10,34,false
gossip,10,301,13,13,14,false
gossip,10,302,13,13,86,false
