# coordinator_comparison mode=broker n=20 duration_secs=20 decision_rate_hz=50 load_update_rate_hz=10 warmup_secs=6
# warmup 4/20 4/20 4/20 4/20 4/20 4/20 4/20 4/20 4/20 4/20 4/20 4/20 → client sees 4 workers, 5 peers; broker has 5 peers
mode,n,decision_idx,perceived_load,true_load,decision_us,is_misroute
broker,20,201,8,8,723,false
broker,20,202,12,12,8785,false
broker,20,203,12,12,389,false
broker,20,204,12,12,360,false
broker,20,205,12,12,319,false
broker,20,206,12,12,354,false
broker,20,207,14,14,1243,false
broker,20,208,14,14,341,false
broker,20,209,14,14,268,false
broker,20,210,14,14,231,false
broker,20,211,11,11,7612,false
broker,20,212,11,11,212,false
broker,20,213,11,11,239,false
broker,20,214,11,11,324,false
broker,20,215,11,11,247,false
broker,20,216,10,10,209,false
broker,20,217,10,10,231,false
broker,20,218,10,10,520,false
broker,20,219,10,10,453,false
broker,20,220,12,12,22537,false
broker,20,221,12,12,218,false
broker,20,222,12,12,3537,false
broker,20,223,12,12,366,false
broker,20,224,12,12,289,false
broker,20,225,12,12,387,false
broker,20,226,12,12,256,false
broker,20,227,12,12,384,false
broker,20,228,12,12,450,false
broker,20,229,12,12,8135,false
broker,20,230,12,12,288,false
broker,20,231,12,12,745,false
broker,20,232,12,12,597,false
broker,20,233,12,17,12400,true
broker,20,234,17,17,248,false
broker,20,235,17,17,224,false
broker,20,236,17,17,327,false
broker,20,237,17,17,324,false
broker,20,238,15,15,2504,false
broker,20,239,15,15,394,false
broker,20,240,15,15,405,false
broker,20,241,15,15,376,false
broker,20,242,17,17,14488,false
broker,20,243,17,17,219,false
broker,20,244,17,17,374,false
broker,20,245,17,17,212,false
broker,20,246,17,17,225,false
broker,20,247,21,21,352,false
broker,20,248,21,21,469,false
broker,20,249,21,21,248,false
broker,20,250,21,21,469,false
broker,20,251,21,21,315,false
broker,20,252,18,18,388,false
broker,20,253,18,18,431,false
broker,20,254,18,18,419,false
broker,20,255,18,18,353,false
broker,20,256,15,15,9163,false
broker,20,257,15,15,485,false
broker,20,258,15,15,276,false
broker,20,259,15,15,356,false
broker,20,260,15,15,477,false
broker,20,261,13,13,1165,false
broker,20,262,13,13,506,false
broker,20,263,13,13,430,false
broker,20,264,13,13,342,false
broker,20,265,9,9,7286,false
broker,20,266,9,9,402,false
broker,20,267,9,9,416,false
broker,20,268,9,9,4323,false
broker,20,269,9,9,390,false
broker,20,270,7,7,1733,false
broker,20,271,7,7,418,false
broker,20,272,7,7,291,false
broker,20,273,7,7,363,false
broker,20,274,5,5,13094,false
broker,20,275,5,5,279,false
broker,20,276,5,5,1008,false
broker,20,277,5,5,326,false
broker,20,278,5,5,239,false
broker,20,279,2,2,171,false
broker,20,280,2,2,264,false
broker,20,281,2,2,418,false
broker,20,282,2,2,237,false
broker,20,283,2,2,351,false
broker,20,284,0,0,1672,false
broker,20,285,0,0,345,false
broker,20,286,0,0,507,false
broker,20,287,0,0,658,false
broker,20,288,1,1,11427,false
broker,20,289,1,1,273,false
broker,20,290,1,1,263,false
broker,20,291,1,1,319,false
broker,20,292,1,1,525,false
broker,20,293,1,1,1277,false
broker,20,294,1,1,339,false
broker,20,295,1,1,287,false
broker,20,296,1,1,411,false
broker,20,297,1,3,8561,false
broker,20,298,3,3,316,false
broker,20,299,3,3,264,false
broker,20,300,3,3,366,false
broker,20,301,3,3,1260,false
broker,20,302,5,5,5257,false
broker,20,303,5,5,309,false
broker,20,304,5,5,460,false
broker,20,305,5,5,364,false
broker,20,306,5,5,327,false
broker,20,307,1,1,179,false
broker,20,308,1,1,284,false
broker,20,309,1,1,406,false
broker,20,310,1,1,440,false
broker,20,311,0,0,270,false
broker,20,312,0,0,271,false
broker,20,313,0,0,262,false
broker,20,314,0,0,3489,false
broker,20,315,0,0,426,false
broker,20,316,0,0,168,false
broker,20,317,0,0,402,false
broker,20,318,0,0,390,false
broker,20,319,0,0,386,false
broker,20,320,2,2,4113,false
broker,20,321,2,2,241,false
broker,20,322,2,2,499,false
broker,20,323,2,2,352,false
broker,20,324,2,2,266,false
broker,20,325,0,0,209,false
broker,20,326,0,0,444,false
broker,20,327,0,0,303,false
broker,20,328,0,0,381,false
broker,20,329,0,0,16100,false
broker,20,330,0,0,268,false
broker,20,331,0,0,459,false
broker,20,332,0,0,257,false
broker,20,333,0,0,606,false
broker,20,334,0,0,171,false
broker,20,335,0,0,359,false
broker,20,336,0,0,338,false
broker,20,337,0,0,299,false
broker,20,338,0,0,2767,false
broker,20,339,0,0,161,false
broker,20,340,0,0,441,false
broker,20,341,0,0,415,false
broker,20,342,0,0,15708,false
broker,20,343,0,0,240,false
broker,20,344,0,0,236,false
broker,20,345,0,0,320,false
broker,20,346,0,0,440,false
broker,20,347,0,0,3999,false
broker,20,348,0,0,290,false
broker,20,349,0,0,246,false
broker,20,350,0,0,409,false
broker,20,351,0,0,4980,false
broker,20,352,0,0,268,false
broker,20,353,0,0,371,false
broker,20,354,0,0,342,false
