# coordinator_comparison mode=broker n=40 duration_secs=20 decision_rate_hz=50 load_update_rate_hz=10 warmup_secs=6
# warmup 40/40 → client sees 40 workers, 4 peers; broker has 24 peers
mode,n,decision_idx,perceived_load,true_load,decision_us,is_misroute
broker,40,1,0,0,1660,false
broker,40,7,0,0,245,false
broker,40,8,0,0,251,false
broker,40,9,0,0,419,false
broker,40,12,0,0,963,false
broker,40,13,0,0,531,false
broker,40,14,0,0,457,false
broker,40,15,0,0,431,false
broker,40,22,5,5,516,false
broker,40,23,5,5,609,false
broker,40,24,5,5,645,false
broker,40,25,5,5,490,false
broker,40,26,1,1,959,false
broker,40,27,1,1,4654,false
broker,40,28,1,1,457,false
broker,40,29,1,1,417,false
broker,40,30,0,0,5791,false
broker,40,31,0,0,447,false
broker,40,32,0,0,547,false
broker,40,33,0,0,401,false
broker,40,34,0,0,587,false
broker,40,35,1,1,3025,false
broker,40,36,1,1,483,false
broker,40,37,1,1,584,false
broker,40,38,1,1,483,false
broker,40,39,1,1,557,false
broker,40,40,6,6,433,false
broker,40,41,6,6,514,false
broker,40,42,6,6,549,false
broker,40,43,6,6,1237,false
broker,40,60,1,1,92,false
broker,40,61,1,1,57,false
broker,40,62,0,0,18053,false
broker,40,63,0,0,2912,false
broker,40,64,0,0,89,false
broker,40,65,0,0,69,false
broker,40,66,0,0,478,false
broker,40,67,4,4,20322,false
broker,40,68,4,4,77,false
broker,40,69,4,4,81,false
broker,40,70,4,4,311,false
broker,40,71,4,4,309,false
broker,40,72,1,1,10269,false
broker,40,73,1,1,80,false
broker,40,74,1,1,57,false
broker,40,75,1,1,356,false
broker,40,76,0,0,22264,false
broker,40,77,0,0,104,false
broker,40,78,0,0,94,false
broker,40,79,0,0,367,false
broker,40,80,0,0,30022,false
broker,40,81,0,0,98,false
broker,40,82,0,0,657,false
broker,40,83,0,0,298,false
broker,40,84,0,0,507,false
broker,40,85,0,0,21251,false
broker,40,86,0,0,81,false
broker,40,87,0,0,62,false
broker,40,88,0,0,351,false
broker,40,89,3,3,24053,false
broker,40,90,3,3,78,false
broker,40,91,3,3,64,false
broker,40,92,3,3,2709,false
broker,40,93,3,3,289,false
broker,40,94,4,4,6750,false
broker,40,95,4,4,60,false
broker,40,96,4,4,298,false
broker,40,97,4,4,353,false
broker,40,98,4,4,22331,false
broker,40,99,4,4,58,false
broker,40,100,4,4,57,false
broker,40,101,4,4,290,false
broker,40,102,4,5,16720,false
broker,40,103,5,5,668,false
broker,40,104,5,5,82,false
broker,40,105,5,5,335,false
broker,40,106,2,2,13117,false
broker,40,107,2,2,1718,false
broker,40,108,2,2,58,false
broker,40,109,2,2,377,false
broker,40,110,2,2,466,false
broker,40,111,0,0,25909,false
broker,40,112,0,0,84,false
broker,40,113,0,0,334,false
broker,40,114,0,0,305,false
broker,40,115,0,0,23173,false
broker,40,116,0,0,93,false
broker,40,117,0,0,82,false
broker,40,118,0,0,346,false
broker,40,119,0,0,27204,false
broker,40,120,0,0,74,false
broker,40,121,0,0,99,false
broker,40,122,0,0,337,false
broker,40,123,0,0,22508,false
broker,40,124,0,0,168,false
broker,40,125,0,0,81,false
broker,40,126,0,0,354,false
broker,40,127,0,0,27423,false
broker,40,128,0,0,80,false
broker,40,129,0,0,64,false
broker,40,130,0,0,337,false
broker,40,131,0,0,21352,false
broker,40,132,0,0,105,false
broker,40,133,0,0,88,false
broker,40,134,0,0,1978,false
broker,40,135,0,0,241,false
broker,40,136,0,0,7955,false
broker,40,137,0,0,70,false
broker,40,138,0,0,355,false
broker,40,139,0,0,289,false
broker,40,140,0,0,30086,false
broker,40,141,0,0,77,false
broker,40,142,0,0,70,false
broker,40,143,0,0,290,false
broker,40,144,0,0,24860,false
broker,40,145,0,0,78,false
broker,40,146,0,0,60,false
broker,40,147,0,0,309,false
broker,40,148,3,3,25957,false
broker,40,149,3,3,3816,false
broker,40,150,3,3,72,false
broker,40,151,3,3,52,false
broker,40,152,3,3,351,false
broker,40,153,3,3,14499,false
broker,40,154,3,3,70,false
broker,40,155,3,3,56,false
broker,40,156,3,3,312,false
broker,40,157,6,6,23906,false
broker,40,158,6,6,67,false
broker,40,159,6,6,57,false
broker,40,160,6,6,259,false
broker,40,161,6,6,267,false
broker,40,162,8,8,12017,false
broker,40,163,8,8,89,false
broker,40,164,8,8,288,false
broker,40,165,8,8,276,false
broker,40,166,11,11,17935,false
broker,40,167,11,11,3170,false
broker,40,168,11,11,101,false
broker,40,169,11,11,279,false
broker,40,170,10,10,29012,false
broker,40,171,10,10,72,false
broker,40,172,10,10,81,false
broker,40,173,10,10,250,false
broker,40,174,10,10,241,false
broker,40,175,9,9,14281,false
broker,40,176,9,9,82,false
broker,40,177,9,9,80,false
broker,40,178,9,9,5913,false
broker,40,179,9,9,10554,false
broker,40,180,9,9,75,false
broker,40,181,9,9,60,false
broker,40,182,9,9,244,false
broker,40,183,9,9,333,false
broker,40,184,8,8,16672,false
broker,40,185,8,8,91,false
broker,40,186,8,8,77,false
broker,40,187,8,8,260,false
broker,40,188,10,10,15765,false
broker,40,189,10,10,61,false
broker,40,190,10,10,301,false
broker,40,191,10,10,258,false
broker,40,192,6,6,37013,false
broker,40,193,6,6,108,false
broker,40,194,6,6,79,false
broker,40,195,6,6,355,false
broker,40,196,8,8,21502,false
broker,40,197,8,8,1836,false
broker,40,198,8,8,102,false
broker,40,199,8,8,324,false
broker,40,200,8,8,303,false
broker,40,201,9,9,20086,false
broker,40,202,9,9,85,false
broker,40,203,9,9,339,false
broker,40,204,9,9,316,false
broker,40,205,9,9,20039,false
broker,40,206,9,9,64,false
broker,40,207,9,9,81,false
broker,40,208,9,9,325,false
broker,40,209,9,9,245,false
broker,40,210,5,5,10771,false
broker,40,211,5,5,309,false
broker,40,212,5,5,336,false
broker,40,213,5,5,390,false
broker,40,214,10,10,20700,false
broker,40,215,10,10,70,false
broker,40,216,10,10,246,false
broker,40,217,10,10,455,false
broker,40,218,10,10,434,false
broker,40,219,7,7,18152,false
broker,40,220,7,7,90,false
broker,40,221,7,7,102,false
broker,40,222,7,7,389,false
broker,40,223,11,11,18641,false
broker,40,224,11,11,1814,false
broker,40,225,11,11,129,false
broker,40,226,11,11,329,false
broker,40,227,9,9,21886,false
broker,40,228,9,9,2537,false
broker,40,229,9,9,97,false
broker,40,230,9,9,310,false
broker,40,231,9,9,403,false
broker,40,232,13,13,13409,false
broker,40,233,13,13,84,false
broker,40,234,13,13,69,false
broker,40,235,13,13,651,false
broker,40,236,11,11,14352,false
broker,40,237,11,11,72,false
broker,40,238,11,11,306,false
broker,40,239,11,11,348,false
broker,40,240,11,11,402,false
broker,40,241,10,10,16967,false
broker,40,242,10,10,83,false
broker,40,243,10,10,281,false
