# coordinator_comparison mode=gossip n=20 duration_secs=20 decision_rate_hz=50 load_update_rate_hz=10 warmup_secs=6
# warmup 6/20 6/20 6/20 6/20 6/20 6/20 6/20 6/20 6/20 6/20 6/20 6/20 → client sees 6 workers, 6 peers; broker has 0 peers
mode,n,decision_idx,perceived_load,true_load,decision_us,is_misroute
gossip,20,189,20,20,35,false
gossip,20,190,20,20,85,false
gossip,20,191,20,20,45,false
gossip,20,192,20,20,35,false
gossip,20,193,20,18,50,false
gossip,20,194,18,18,39,false
gossip,20,195,18,18,54,false
gossip,20,196,18,18,45,false
gossip,20,197,18,18,32,false
gossip,20,198,14,14,83,false
gossip,20,199,14,14,377,false
gossip,20,200,14,14,49,false
gossip,20,201,14,14,51,false
gossip,20,202,14,14,43,false
gossip,20,203,19,19,17,false
gossip,20,204,19,19,18,false
gossip,20,205,19,19,64,false
gossip,20,206,19,19,27,false
gossip,20,207,17,17,238,false
gossip,20,208,17,17,42,false
gossip,20,209,17,17,29,false
gossip,20,210,17,17,40,false
gossip,20,211,17,17,41,false
gossip,20,212,13,13,22,false
gossip,20,213,13,13,40,false
gossip,20,214,13,13,48,false
gossip,20,215,13,13,46,false
gossip,20,216,12,12,39,false
gossip,20,217,12,12,29,false
gossip,20,218,12,12,32,false
gossip,20,219,12,12,33,false
gossip,20,220,12,12,43,false
gossip,20,221,16,16,21,false
gossip,20,222,16,16,22,false
gossip,20,223,16,16,40,false
gossip,20,224,16,16,30,false
gossip,20,225,16,16,54,false
gossip,20,226,12,12,27,false
gossip,20,227,12,12,36,false
gossip,20,228,12,12,25,false
gossip,20,229,12,12,47,false
gossip,20,230,8,8,2937,false
gossip,20,231,8,8,28,false
gossip,20,232,8,8,44,false
gossip,20,233,8,8,28,false
gossip,20,234,8,8,53,false
gossip,20,235,9,9,31,false
gossip,20,236,9,9,42,false
gossip,20,237,9,9,42,false
gossip,20,238,9,9,19,false
gossip,20,239,5,5,612,false
gossip,20,240,5,5,32,false
gossip,20,241,5,5,45,false
gossip,20,242,5,5,27,false
gossip,20,243,5,5,22,false
gossip,20,244,8,8,13,false
gossip,20,245,8,8,31,false
gossip,20,246,8,8,31,false
gossip,20,247,8,8,41,false
gossip,20,248,8,10,40,false
gossip,20,249,10,10,22,false
gossip,20,250,10,10,23,false
gossip,20,251,10,10,22,false
gossip,20,252,10,10,24,false
gossip,20,253,11,11,19,false
gossip,20,254,11,11,33,false
gossip,20,255,11,11,46,false
gossip,20,256,11,11,24,false
gossip,20,257,11,10,23,false
gossip,20,258,10,10,22,false
gossip,20,259,10,10,31,false
gossip,20,260,10,10,46,false
gossip,20,261,7,7,32,false
gossip,20,262,7,7,29,false
gossip,20,263,7,7,38,false
gossip,20,264,7,7,34,false
gossip,20,265,6,6,20,false
gossip,20,266,6,6,50,false
gossip,20,267,6,6,32,false
gossip,20,268,6,6,24,false
gossip,20,269,6,6,46,false
gossip,20,270,11,11,37,false
gossip,20,271,11,11,26,false
gossip,20,272,11,11,74,false
gossip,20,273,11,11,103,false
gossip,20,274,8,8,19,false
gossip,20,275,8,8,22,false
gossip,20,276,8,8,44,false
gossip,20,277,8,8,22,false
gossip,20,278,8,8,24,false
gossip,20,279,4,4,31,false
gossip,20,280,4,4,44,false
gossip,20,281,4,4,45,false
gossip,20,282,7,7,58,false
gossip,20,283,7,7,24,false
gossip,20,284,7,7,23,false
gossip,20,285,7,7,22,false
gossip,20,286,7,4,84,false
gossip,20,287,4,4,51,false
gossip,20,288,4,4,21,false
gossip,20,289,4,4,29,false
gossip,20,290,4,4,23,false
gossip,20,291,0,0,20,false
gossip,20,292,0,0,42,false
gossip,20,293,0,0,28,false
gossip,20,294,0,0,21,false
gossip,20,295,0,0,25,false
gossip,20,296,0,0,44,false
gossip,20,297,0,0,26,false
gossip,20,298,0,0,22,false
gossip,20,299,0,0,33,false
gossip,20,300,0,0,19,false
gossip,20,301,0,0,22,false
gossip,20,302,0,0,22,false
gossip,20,303,0,0,22,false
gossip,20,304,0,0,23,false
gossip,20,305,0,0,22,false
gossip,20,306,0,0,23,false
gossip,20,307,0,0,45,false
gossip,20,308,0,0,21,false
gossip,20,309,1,1,22,false
gossip,20,310,1,1,22,false
gossip,20,311,1,1,25,false
gossip,20,312,1,1,31,false
gossip,20,313,1,1,23,false
gossip,20,314,0,0,26,false
gossip,20,315,0,0,25,false
gossip,20,316,0,0,28,false
gossip,20,317,0,0,42,false
gossip,20,318,0,0,20,false
gossip,20,319,0,0,50,false
gossip,20,320,0,0,32,false
gossip,20,321,0,0,26,false
gossip,20,322,0,0,42,false
gossip,20,323,3,3,15,false
gossip,20,324,3,3,31,false
gossip,20,325,3,3,219,false
gossip,20,326,3,3,35,false
gossip,20,327,8,8,28,false
gossip,20,328,8,8,36,false
gossip,20,329,8,8,36,false
gossip,20,330,8,8,36,false
gossip,20,331,11,11,186,false
gossip,20,332,11,11,41,false
gossip,20,333,11,11,39,false
gossip,20,334,11,11,35,false
gossip,20,335,11,11,27,false
gossip,20,336,13,13,30,false
gossip,20,337,13,13,32,false
gossip,20,338,13,13,56,false
gossip,20,339,13,13,33,false
gossip,20,340,13,13,45,false
gossip,20,341,13,13,33,false
gossip,20,342,13,13,37,false
gossip,20,343,13,13,34,false
gossip,20,344,13,13,31,false
