arm,n,het,drift,seed,lambda_hz,submitted,completed,thr_hz,mean_ms,p50_ms,p95_ms,p99_ms,iwwe,jain
broker,20,0.25,0.05,2,162.50,6507,5646,161.30,95.40,88.98,178.97,272.88,0.20216,0.9686
pull,20,0.25,0.2,2,162.50,6507,5648,161.36,105.46,74.13,290.81,614.79,0.03471,0.9838
gossip,20,0.25,0.2,2,162.50,6507,5645,161.27,130.68,81.06,391.39,859.35,0.14888,0.9771
broker,20,0.25,0.2,2,162.50,6507,5641,161.16,136.19,84.01,403.52,953.36,0.14974,0.9765
pull,20,0.5,0,2,162.50,6507,5650,161.41,89.20,76.00,154.92,359.73,0.04528,0.9818
gossip,20,0.5,0,2,162.50,6507,5648,161.34,100.20,82.34,226.88,360.23,0.21075,0.9606
broker,20,0.5,0,2,162.50,6506,5647,161.33,102.51,83.72,233.09,361.61,0.22795,0.9635
pull,20,0.5,0.05,2,162.50,6507,5651,161.45,91.65,84.92,194.85,338.32,0.03821,0.9799
gossip,20,0.5,0.05,2,162.50,6506,5647,161.34,101.30,89.38,219.44,456.87,0.20378,0.9676
broker,20,0.5,0.05,2,162.50,6507,5652,161.44,101.77,90.52,216.27,440.75,0.19905,0.9689
pull,20,0.5,0.2,2,162.50,6507,5649,161.38,108.36,69.66,310.12,670.51,0.03564,0.9834
gossip,20,0.5,0.2,2,162.50,6507,5644,161.20,135.93,80.43,412.44,956.81,0.13417,0.9789
broker,20,0.5,0.2,2,162.50,6507,5642,161.17,143.16,82.93,440.44,1005.68,0.12212,0.9791
pull,20,1,0,2,162.50,6507,5650,161.40,98.19,50.17,293.49,583.26,0.03814,0.9695
gossip,20,1,0,2,162.50,6507,5644,161.24,110.17,72.00,294.71,583.86,0.18780,0.9637
broker,20,1,0,2,162.50,6507,5645,161.27,114.38,73.87,294.98,584.76,0.18587,0.9636
pull,20,1,0.05,2,162.50,6507,5650,161.42,100.92,48.68,295.22,488.17,0.03768,0.9711
gossip,20,1,0.05,2,162.50,6507,5644,161.23,113.75,60.83,349.03,650.16,0.17415,0.9674
broker,20,1,0.05,2,162.50,6507,5644,161.23,124.26,71.12,402.37,767.25,0.18293,0.9632
pull,20,1,0.2,2,162.50,6507,5840,166.84,4892.29,5194.86,7511.46,7783.37,0.02585,0.9987
gossip,20,1,0.2,2,162.50,6507,5645,161.27,150.45,63.79,556.36,1248.97,0.10874,0.9822
broker,20,1,0.2,2,162.50,6506,5641,161.17,149.00,61.97,515.37,1235.02,0.12210,0.9806
pull,20,0,0,3,162.50,6498,6236,178.16,2677.80,2428.68,6149.59,6590.22,0.08142,1.0000
gossip,20,0,0,3,162.50,6497,5666,161.86,88.26,81.95,136.56,161.17,0.15719,0.9664
broker,20,0,0,3,162.50,6497,5666,161.85,92.08,82.35,147.81,166.44,0.21231,0.9256
pull,20,0,0.05,3,162.50,6498,5664,161.82,83.96,80.38,117.18,134.95,0.05139,0.9965
gossip,20,0,0.05,3,162.50,6498,5664,161.79,89.89,83.30,140.73,181.71,0.18781,0.9758
broker,20,0,0.05,3,162.50,6498,5663,161.80,90.70,84.31,143.42,188.65,0.19974,0.9706
pull,20,0,0.2,3,162.50,6498,5658,161.65,95.89,66.25,287.96,473.69,0.03943,0.9840
gossip,20,0,0.2,3,162.50,6498,5662,161.73,109.23,70.41,326.06,623.62,0.18899,0.9726
broker,20,0,0.2,3,162.50,6498,5662,161.72,110.63,72.52,332.43,664.68,0.19151,0.9765
pull,20,0.25,0,3,162.50,6498,5667,161.90,84.43,83.41,114.03,133.40,0.05567,0.9954
gossip,20,0.25,0,3,162.50,6498,5666,161.87,91.75,86.48,147.36,181.44,0.18699,0.9629
broker,20,0.25,0,3,162.50,6497,5666,161.88,92.54,86.29,149.13,191.15,0.21053,0.9676
pull,20,0.25,0.05,3,162.50,6498,5666,161.88,84.86,83.15,120.56,135.47,0.05243,0.9948
gossip,20,0.25,0.05,3,162.50,6498,5663,161.77,92.27,88.36,149.90,196.39,0.18540,0.9694
broker,20,0.25,0.05,3,162.50,6498,5662,161.76,93.92,88.58,154.83,206.67,0.22417,0.9375
pull,20,0.25,0.2,3,162.50,6498,5658,161.65,96.87,68.14,290.29,472.96,0.03968,0.9847
gossip,20,0.25,0.2,3,162.50,6498,5656,161.60,113.51,75.30,345.27,648.01,0.18325,0.9747
broker,20,0.25,0.2,3,162.50,6498,5663,161.77,106.77,71.28,318.03,600.64,0.21713,0.9470
pull,20,0.5,0,3,162.50,6498,5665,161.85,86.77,82.84,153.95,213.04,0.04793,0.9872
gossip,20,0.5,0,3,162.50,6498,5665,161.83,94.53,88.37,175.61,253.98,0.20136,0.9643
broker,20,0.5,0,3,162.50,6498,5662,161.74,93.64,85.60,172.13,222.02,0.19464,0.9728
pull,20,0.5,0.05,3,162.50,6497,5664,161.83,87.78,84.37,152.36,188.75,0.04743,0.9886
gossip,20,0.5,0.05,3,162.50,6498,5661,161.73,95.15,87.71,181.47,232.18,0.17399,0.9682
broker,20,0.5,0.05,3,162.50,6498,5665,161.81,97.53,88.64,184.67,261.60,0.20251,0.9706
pull,20,0.5,0.2,3,162.50,6497,5966,170.45,3201.17,3110.91,6445.87,6676.01,0.03214,0.9987
gossip,20,0.5,0.2,3,162.50,6498,5658,161.60,113.96,72.43,354.59,648.44,0.16959,0.9738
broker,20,0.5,0.2,3,162.50,6498,5662,161.72,117.38,75.06,381.08,641.11,0.16702,0.9758
pull,20,1,0,3,162.50,6498,5665,161.84,93.73,87.37,227.49,491.97,0.03725,0.9777
gossip,20,1,0,3,162.50,6498,5659,161.68,107.44,91.79,238.18,492.83,0.18578,0.9645
broker,20,1,0,3,162.50,6498,5661,161.74,105.04,91.49,244.43,492.14,0.19989,0.9684
pull,20,1,0.05,3,162.50,6498,5665,161.85,95.52,84.49,217.54,412.05,0.04253,0.9795
gossip,20,1,0.05,3,162.50,6498,5661,161.71,110.46,94.50,262.17,463.09,0.18568,0.9660
broker,20,1,0.05,3,162.50,6498,5664,161.79,107.18,91.50,256.89,439.25,0.19227,0.9691
pull,20,1,0.2,3,162.50,6498,5661,161.74,102.95,63.20,347.14,538.83,0.03428,0.9824
gossip,20,1,0.2,3,162.50,6497,5658,161.64,127.48,70.50,446.60,852.64,0.15331,0.9758
broker,20,1,0.2,3,162.50,6498,5659,161.63,119.87,66.37,419.18,811.00,0.16948,0.9782
